Дата,Участок,Наименование оборудования,Узел,Описание коренной причины,Работы по устранению неисправностей,description,recommendation
2021-05-31 00:00:00,УЭ ,Отвал №2,Мачта освещения,Перенос мачты,Прокладка кабеля и подключение к ТП-26,УЭ  Отвал №2 Мачта освещения Перенос мачты,Прокладка кабеля и подключение к ТП-26
2021-06-01 00:00:00,УЭ ,КОС-350,ПЧ,Эксплуатационный износ ,Замена,УЭ  КОС-350 ПЧ Эксплуатационный износ ,Замена
2021-06-02 00:00:00,УЭ ,Столовая посёлка,Стиральная машина,Эксплуатационный износ ,Замена,УЭ  Столовая посёлка Стиральная машина Эксплуатационный износ ,Замена
2021-06-03 00:00:00,УЭ ,ЦСО ГТТ,Освещение,Эксплуатационный износ ,Замена,УЭ  ЦСО ГТТ Освещение Эксплуатационный износ ,Замена
2021-06-04 00:00:00,УЭ ,ЦСО ГТТ,Розетки 380В,Механическое повреждение,Замена,УЭ  ЦСО ГТТ Розетки 380В Механическое повреждение,Замена
2021-06-05 00:00:00,УЭ ,Столовая посёлка,Линия раздачи,Эксплуатационный износ ,Замена,УЭ  Столовая посёлка Линия раздачи Эксплуатационный износ ,Замена
2021-06-06 00:00:00,УЭ ,АБК,Розетки 220В в лаборатории,Отключение после переключений на ТП-59п,Поиск и включение АВ,УЭ  АБК Розетки 220В в лаборатории Отключение после переключений на ТП-59п,Поиск и включение АВ
2021-06-07 00:00:00,УЭ ,РБП,Разъёмы питания в вагон-доме,Перегрев нулевого контакта,Замена,УЭ  РБП Разъёмы питания в вагон-доме Перегрев нулевого контакта,Замена
2021-06-08 00:00:00,УЭ ,Посёлок,Освещение,Эксплуатационный износ ,Замена,УЭ  Посёлок Освещение Эксплуатационный износ ,Замена
2021-06-09 00:00:00,УЭ ,"Ангар ""Цеппелин""",Кран-балка,Эксплуатационный износ ,Снятие/ремонт/установка,"УЭ  Ангар ""Цеппелин"" Кран-балка Эксплуатационный износ ",Снятие/ремонт/установка
2021-06-10 00:00:00,УЭ ,РБП,Сварочный аппарат,Эксплуатационный износ ,Замена,УЭ  РБП Сварочный аппарат Эксплуатационный износ ,Замена
2021-06-11 00:00:00,УЭ ,ЦСО ГТТ,Освещение станка,Эксплуатационный износ ,Замена,УЭ  ЦСО ГТТ Освещение станка Эксплуатационный износ ,Замена
2021-06-12 00:00:00,УЭ ,Столовая посёлка,Линия раздачи,Эксплуатационный износ ,Замена,УЭ  Столовая посёлка Линия раздачи Эксплуатационный износ ,Замена
2021-06-13 00:00:00,УЭ ,ЦСО ГТТ,Розетки 220В,Механическое повреждение,Замена,УЭ  ЦСО ГТТ Розетки 220В Механическое повреждение,Замена
2021-06-14 00:00:00,УЭ ,РМЦ,Контейнер,Эксплуатационный износ ,Демонтаж/монтаж ,УЭ  РМЦ Контейнер Эксплуатационный износ ,Демонтаж/монтаж 
2021-06-15 00:00:00,УЭ ,КОС 350,Компрессор,Эксплуатационный износ ,Замена,УЭ  КОС 350 Компрессор Эксплуатационный износ ,Замена
2021-06-16 00:00:00,УЭ ,РБП,Сварочный аппарат,Механическое повреждение,Усиление корпуса,УЭ  РБП Сварочный аппарат Механическое повреждение,Усиление корпуса
2021-06-17 00:00:00,УЭ ,РБП,Сварочный аппарат Дуга,Эксплуатационный износ ,Замена,УЭ  РБП Сварочный аппарат Дуга Эксплуатационный износ ,Замена
2021-06-18 00:00:00,УЭ ,РМЦ,Подъём ворот,Эксплуатационный износ ,Замена,УЭ  РМЦ Подъём ворот Эксплуатационный износ ,Замена
2021-06-19 00:00:00,УЭ ,УЭ ЦСОЭ,УШМ,Эксплуатационный износ ,Замена,УЭ  УЭ ЦСОЭ УШМ Эксплуатационный износ ,Замена
2021-06-20 00:00:00,УЭ ,ЦСО ГТТ,Эл. Питание агрегатного и сварочного цехов,Эксплуатационный износ ,Ремонт,УЭ  ЦСО ГТТ Эл. Питание агрегатного и сварочного цехов Эксплуатационный износ ,Ремонт
2021-06-21 00:00:00,УЭ ,ВЛ 6кВ Р17,ТП-110о,Межвитковое замыкание обмотки тр-ра,Отключение ТП,УЭ  ВЛ 6кВ Р17 ТП-110о Межвитковое замыкание обмотки тр-ра,Отключение ТП
2021-06-22 00:00:00,УЭ ,Горный участок,Освещение,Эксплуатационный износ ,Замена,УЭ  Горный участок Освещение Эксплуатационный износ ,Замена
2021-06-23 00:00:00,УЭ ,Столовая АБК,Эл. Плита,Эксплуатационный износ ,Замена,УЭ  Столовая АБК Эл. Плита Эксплуатационный износ ,Замена
2021-06-24 00:00:00,УЭ ,УЭ ЦСОЭ,ТП-81к,Вновь смонтированный,Подключение и проверка исправности ,УЭ  УЭ ЦСОЭ ТП-81к Вновь смонтированный,Подключение и проверка исправности 
